# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 312
LOAD_GLOBAL, 461
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 1028
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 515
LOAD_NONLOCAL, 14
STORE_GLOBAL, 58
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 215
STORE_FIELD, 134
CALL, 534
JUMP, 135
JUMP_IF_FALSE, 112
JUMP_IF_TRUE_PEEK, 25
JUMP_IF_FALSE_PEEK, 58
RAISE, 5
TRY, 0
CATCH, 0
ASSERT_FUNC, 534
CREATE_OBJECT, 35
CREATE_CLASS, 15
CREATE_LIST, 2
CREATE_FUNC, 34
POP, 417
DUPE, 407
SWAP, 134
RETURN, 125
RETURN_INIT, 14
# Total static bytecodes: 5323
