# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 83
LOAD_GLOBAL, 166
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 358
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 172
LOAD_NONLOCAL, 13
STORE_GLOBAL, 45
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 44
STORE_FIELD, 90
CALL, 153
JUMP, 36
JUMP_IF_FALSE, 31
JUMP_IF_TRUE_PEEK, 1
JUMP_IF_FALSE_PEEK, 9
RAISE, 2
TRY, 0
CATCH, 0
ASSERT_FUNC, 153
CREATE_OBJECT, 11
CREATE_CLASS, 10
CREATE_LIST, 1
CREATE_FUNC, 25
POP, 167
DUPE, 179
SWAP, 90
RETURN, 75
RETURN_INIT, 8
# Total static bytecodes: 1922
