# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 252
LOAD_GLOBAL, 232
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 578
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 411
LOAD_NONLOCAL, 6
STORE_GLOBAL, 36
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 71
STORE_FIELD, 60
CALL, 415
JUMP, 96
JUMP_IF_FALSE, 78
JUMP_IF_TRUE_PEEK, 25
JUMP_IF_FALSE_PEEK, 24
RAISE, 22
TRY, 0
CATCH, 0
ASSERT_FUNC, 415
CREATE_OBJECT, 15
CREATE_CLASS, 11
CREATE_LIST, 2
CREATE_FUNC, 21
POP, 233
DUPE, 167
SWAP, 60
RETURN, 136
RETURN_INIT, 9
# Total static bytecodes: 3375
